Requirement ID,Requirement,Tokenized_Requirement,Encoded_Requirement
R069,the system must prevent charging if the battery temperature exceeds 50°c.,"['the', 'Ġsystem', 'Ġmust', 'Ġprevent', 'Ġcharging', 'Ġif', 'Ġthe', 'Ġbattery', 'Ġtemperature', 'Ġexceeds', 'Ġ50', 'Â°', 'c', '.']","[0, 627, 467, 531, 2097, 6489, 114, 5, 3822, 5181, 23984, 654, 12938, 438, 4, 2]"
R070,the battery management system must detect faults within 2 seconds.,"['the', 'Ġbattery', 'Ġmanagement', 'Ġsystem', 'Ġmust', 'Ġdetect', 'Ġfaults', 'Ġwithin', 'Ġ2', 'Ġseconds', '.']","[0, 627, 3822, 1052, 467, 531, 10933, 28853, 624, 132, 2397, 4, 2]"
R071,the system must connect to a mobile app via bluetooth within 3 seconds.,"['the', 'Ġsystem', 'Ġmust', 'Ġconnect', 'Ġto', 'Ġa', 'Ġmobile', 'Ġapp', 'Ġvia', 'Ġblu', 'etooth', 'Ġwithin', 'Ġ3', 'Ġseconds', '.']","[0, 627, 467, 531, 4686, 7, 10, 1830, 1553, 1241, 42034, 44969, 624, 155, 2397, 4, 2]"
R072,the vehicle must support gps tracking with 5-meter accuracy.,"['the', 'Ġvehicle', 'Ġmust', 'Ġsupport', 'Ġg', 'ps', 'Ġtracking', 'Ġwith', 'Ġ5', '-', 'meter', 'Ġaccuracy', '.']","[0, 627, 1155, 531, 323, 821, 3275, 6779, 19, 195, 12, 15139, 8611, 4, 2]"
R073,the system must upload diagnostic data to the cloud every 24 hours.,"['the', 'Ġsystem', 'Ġmust', 'Ġupload', 'Ġdiagnostic', 'Ġdata', 'Ġto', 'Ġthe', 'Ġcloud', 'Ġevery', 'Ġ24', 'Ġhours', '.']","[0, 627, 467, 531, 20021, 20862, 414, 7, 5, 3613, 358, 706, 722, 4, 2]"
R074,the connectivity module must support 4g lte with a fallback to 3g.,"['the', 'Ġconnectivity', 'Ġmodule', 'Ġmust', 'Ġsupport', 'Ġ4', 'g', 'Ġl', 'te', 'Ġwith', 'Ġa', 'Ġfall', 'back', 'Ġto', 'Ġ3', 'g', '.']","[0, 627, 10335, 20686, 531, 323, 204, 571, 784, 859, 19, 10, 1136, 1644, 7, 155, 571, 4, 2]"
R075,the system must encrypt all data transmissions with aes-256.,"['the', 'Ġsystem', 'Ġmust', 'Ġencrypt', 'Ġall', 'Ġdata', 'Ġtransmissions', 'Ġwith', 'Ġa', 'es', '-', '256', '.']","[0, 627, 467, 531, 41194, 70, 414, 37989, 19, 10, 293, 12, 24554, 4, 2]"
R076,the vehicle must broadcast its location to nearby vehicles every 500 ms.,"['the', 'Ġvehicle', 'Ġmust', 'Ġbroadcast', 'Ġits', 'Ġlocation', 'Ġto', 'Ġnearby', 'Ġvehicles', 'Ġevery', 'Ġ500', 'Ġms', '.']","[0, 627, 1155, 531, 2308, 63, 2259, 7, 3027, 1734, 358, 1764, 43601, 4, 2]"
R077,the system must allow remote locking via a mobile app within 2 seconds.,"['the', 'Ġsystem', 'Ġmust', 'Ġallow', 'Ġremote', 'Ġlocking', 'Ġvia', 'Ġa', 'Ġmobile', 'Ġapp', 'Ġwithin', 'Ġ2', 'Ġseconds', '.']","[0, 627, 467, 531, 1157, 6063, 22678, 1241, 10, 1830, 1553, 624, 132, 2397, 4, 2]"
R078,the connectivity must remain active in standby mode for 48 hours.,"['the', 'Ġconnectivity', 'Ġmust', 'Ġremain', 'Ġactive', 'Ġin', 'Ġstandby', 'Ġmode', 'Ġfor', 'Ġ48', 'Ġhours', '.']","[0, 627, 10335, 531, 1091, 2171, 11, 28611, 5745, 13, 2929, 722, 4, 2]"
R079,the system must support ota updates over wi-fi with a 10 mb/s minimum speed.,"['the', 'Ġsystem', 'Ġmust', 'Ġsupport', 'Ġo', 'ta', 'Ġupdates', 'Ġover', 'Ġwi', '-', 'fi', 'Ġwith', 'Ġa', 'Ġ10', 'Ġm', 'b', '/', 's', 'Ġminimum', 'Ġspeed', '.']","[0, 627, 467, 531, 323, 1021, 4349, 3496, 81, 33755, 12, 9169, 19, 10, 158, 475, 428, 73, 29, 3527, 2078, 4, 2]"
R080,the vehicle must integrate with smart helmets via bluetooth 5.0.,"['the', 'Ġvehicle', 'Ġmust', 'Ġintegrate', 'Ġwith', 'Ġsmart', 'Ġhelmets', 'Ġvia', 'Ġblu', 'etooth', 'Ġ5', '.', '0', '.']","[0, 627, 1155, 531, 13997, 19, 2793, 24680, 1241, 42034, 44969, 195, 4, 288, 4, 2]"
R081,the system must detect unauthorized access attempts within 1 second.,"['the', 'Ġsystem', 'Ġmust', 'Ġdetect', 'Ġunauthorized', 'Ġaccess', 'Ġattempts', 'Ġwithin', 'Ġ1', 'Ġsecond', '.']","[0, 627, 467, 531, 10933, 18893, 899, 3881, 624, 112, 200, 4, 2]"
R082,the connectivity system must log all network failures for diagnostics.,"['the', 'Ġconnectivity', 'Ġsystem', 'Ġmust', 'Ġlog', 'Ġall', 'Ġnetwork', 'Ġfailures', 'Ġfor', 'Ġdiagn', 'ostics', '.']","[0, 627, 10335, 467, 531, 7425, 70, 1546, 12055, 13, 25378, 21611, 4, 2]"
R083,the vehicle must support v2v communication within a 100-meter radius.,"['the', 'Ġvehicle', 'Ġmust', 'Ġsupport', 'Ġv', '2', 'v', 'Ġcommunication', 'Ġwithin', 'Ġa', 'Ġ100', '-', 'meter', 'Ġradius', '.']","[0, 627, 1155, 531, 323, 748, 176, 705, 4358, 624, 10, 727, 12, 15139, 29943, 4, 2]"
R084,the system must alert the rider if the mobile app disconnects for over 10 seconds.,"['the', 'Ġsystem', 'Ġmust', 'Ġalert', 'Ġthe', 'Ġrider', 'Ġif', 'Ġthe', 'Ġmobile', 'Ġapp', 'Ġdisconnect', 's', 'Ġfor', 'Ġover', 'Ġ10', 'Ġseconds', '.']","[0, 627, 467, 531, 5439, 5, 11578, 114, 5, 1830, 1553, 18411, 29, 13, 81, 158, 2397, 4, 2]"
R085,the connectivity must prioritize emergency data transmission within 100 ms.,"['the', 'Ġconnectivity', 'Ġmust', 'Ġprioritize', 'Ġemergency', 'Ġdata', 'Ġtransmission', 'Ġwithin', 'Ġ100', 'Ġms', '.']","[0, 627, 10335, 531, 21790, 1923, 414, 9235, 624, 727, 43601, 4, 2]"
R086,the system must perform a full diagnostic check every 500 km.,"['the', 'Ġsystem', 'Ġmust', 'Ġperform', 'Ġa', 'Ġfull', 'Ġdiagnostic', 'Ġcheck', 'Ġevery', 'Ġ500', 'Ġkm', '.']","[0, 627, 467, 531, 3008, 10, 455, 20862, 1649, 358, 1764, 6301, 4, 2]"
R087,the maintenance system must predict tire replacement within a 100 km accuracy.,"['the', 'Ġmaintenance', 'Ġsystem', 'Ġmust', 'Ġpredict', 'Ġtire', 'Ġreplacement', 'Ġwithin', 'Ġa', 'Ġ100', 'Ġkm', 'Ġaccuracy', '.']","[0, 627, 4861, 467, 531, 7006, 12431, 5010, 624, 10, 727, 6301, 8611, 4, 2]"
R088,the vehicle must alert the rider of oil levels (if applicable) every 100 km.,"['the', 'Ġvehicle', 'Ġmust', 'Ġalert', 'Ġthe', 'Ġrider', 'Ġof', 'Ġoil', 'Ġlevels', 'Ġ(', 'if', 'Ġapplicable', ')', 'Ġevery', 'Ġ100', 'Ġkm', '.']","[0, 627, 1155, 531, 5439, 5, 11578, 9, 681, 1389, 36, 1594, 10404, 43, 358, 727, 6301, 4, 2]"
R089,the system must schedule maintenance based on usage patterns within 7 days.,"['the', 'Ġsystem', 'Ġmust', 'Ġschedule', 'Ġmaintenance', 'Ġbased', 'Ġon', 'Ġusage', 'Ġpatterns', 'Ġwithin', 'Ġ7', 'Ġdays', '.']","[0, 627, 467, 531, 3078, 4861, 716, 15, 9453, 8117, 624, 262, 360, 4, 2]"
R090,the maintenance log must store data for up to 2 years.,"['the', 'Ġmaintenance', 'Ġlog', 'Ġmust', 'Ġstore', 'Ġdata', 'Ġfor', 'Ġup', 'Ġto', 'Ġ2', 'Ġyears', '.']","[0, 627, 4861, 7425, 531, 1400, 414, 13, 62, 7, 132, 107, 4, 2]"
R091,the system must notify the rider of brake pad wear at 75% depletion.,"['the', 'Ġsystem', 'Ġmust', 'Ġnotify', 'Ġthe', 'Ġrider', 'Ġof', 'Ġbrake', 'Ġpad', 'Ġwear', 'Ġat', 'Ġ75', '%', 'Ġdepletion', '.']","[0, 627, 467, 531, 18981, 5, 11578, 9, 18507, 11212, 3568, 23, 3337, 207, 39309, 4, 2]"
R092,the vehicle must support a self-test mode accessible via the ui.,"['the', 'Ġvehicle', 'Ġmust', 'Ġsupport', 'Ġa', 'Ġself', '-', 'test', 'Ġmode', 'Ġaccessible', 'Ġvia', 'Ġthe', 'Ġu', 'i', '.']","[0, 627, 1155, 531, 323, 10, 1403, 12, 21959, 5745, 6500, 1241, 5, 1717, 118, 4, 2]"
R093,the system must detect chain tension issues within 10 km of occurrence.,"['the', 'Ġsystem', 'Ġmust', 'Ġdetect', 'Ġchain', 'Ġtension', 'Ġissues', 'Ġwithin', 'Ġ10', 'Ġkm', 'Ġof', 'Ġoccurrence', '.']","[0, 627, 467, 531, 10933, 3206, 8556, 743, 624, 158, 6301, 9, 21263, 4, 2]"
R094,the maintenance system must alert for battery health checks every 6 months.,"['the', 'Ġmaintenance', 'Ġsystem', 'Ġmust', 'Ġalert', 'Ġfor', 'Ġbattery', 'Ġhealth', 'Ġchecks', 'Ġevery', 'Ġ6', 'Ġmonths', '.']","[0, 627, 4861, 467, 531, 5439, 13, 3822, 474, 6240, 358, 231, 377, 4, 2]"
R095,the vehicle must include a manual override for all automated maintenance alerts.,"['the', 'Ġvehicle', 'Ġmust', 'Ġinclude', 'Ġa', 'Ġmanual', 'Ġoverride', 'Ġfor', 'Ġall', 'Ġautomated', 'Ġmaintenance', 'Ġalerts', '.']","[0, 627, 1155, 531, 680, 10, 12769, 30333, 13, 70, 11554, 4861, 5431, 4, 2]"
R096,the system must ensure all lights function during a pre-ride check.,"['the', 'Ġsystem', 'Ġmust', 'Ġensure', 'Ġall', 'Ġlights', 'Ġfunction', 'Ġduring', 'Ġa', 'Ġpre', '-', 'ride', 'Ġcheck', '.']","[0, 627, 467, 531, 1306, 70, 4666, 5043, 148, 10, 1198, 12, 23167, 1649, 4, 2]"
R097,the vehicle must support a modular design for easy part replacement.,"['the', 'Ġvehicle', 'Ġmust', 'Ġsupport', 'Ġa', 'Ġmodular', 'Ġdesign', 'Ġfor', 'Ġeasy', 'Ġpart', 'Ġreplacement', '.']","[0, 627, 1155, 531, 323, 10, 25897, 1521, 13, 1365, 233, 5010, 4, 2]"
R098,the system must log all maintenance events with rider confirmation.,"['the', 'Ġsystem', 'Ġmust', 'Ġlog', 'Ġall', 'Ġmaintenance', 'Ġevents', 'Ġwith', 'Ġrider', 'Ġconfirmation', '.']","[0, 627, 467, 531, 7425, 70, 4861, 1061, 19, 11578, 7036, 4, 2]"
R099,the maintenance alerts must be dismissible via the mobile app.,"['the', 'Ġmaintenance', 'Ġalerts', 'Ġmust', 'Ġbe', 'Ġdismiss', 'ible', 'Ġvia', 'Ġthe', 'Ġmobile', 'Ġapp', '.']","[0, 627, 4861, 5431, 531, 28, 11390, 4748, 1241, 5, 1830, 1553, 4, 2]"
R100,the system must provide a maintenance cost estimate within 10% accuracy.,"['the', 'Ġsystem', 'Ġmust', 'Ġprovide', 'Ġa', 'Ġmaintenance', 'Ġcost', 'Ġestimate', 'Ġwithin', 'Ġ10', '%', 'Ġaccuracy', '.']","[0, 627, 467, 531, 694, 10, 4861, 701, 3278, 624, 158, 207, 8611, 4, 2]"
